KPI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Ticker,Type
Cash from Operating Activity,,203,244,229,7,124,130,254,404,561,555,913,JKPAPER,Cash_Flow
Cash from Investing Activity,,-25,-66,-100,-596,-792,-332,-50,-34,-260,46,-898,JKPAPER,Cash_Flow
Cash from Financing Activity,,-147,-204,-107,706,554,176,-195,-373,-289,-507,-123,JKPAPER,Cash_Flow
Net Cash Flow,,31,-26,23,117,-114,-25,9,-3,13,95,-107,JKPAPER,Cash_Flow
Sales,,4786,3538,4670,5445,5372,5888,6061,5826,5979,6453,7610,JKTYRE,Income_Statement
Expenses,,4493,3132,4379,5240,4885,5233,5309,4828,5236,5961,6887,JKTYRE,Income_Statement
Operating Profit,,293,406,290,205,487,654,752,998,743,492,723,JKTYRE,Income_Statement
OPM %,,6%,11%,6%,4%,9%,11%,12%,17%,12%,8%,10%,JKTYRE,Income_Statement
Other Income,,23,19,-10,80,-18,-58,6,12,168,21,86,JKTYRE,Income_Statement
Interest,,161,93,98,170,207,248,241,236,268,274,316,JKTYRE,Income_Statement
Depreciation,,113,86,91,101,113,152,139,172,184,175,188,JKTYRE,Income_Statement
Profit before tax,,42,246,92,13,150,195,377,601,460,64,305,JKTYRE,Income_Statement
Tax %,,55%,33%,33%,14%,30%,31%,33%,29%,28%,33%,33%,JKTYRE,Income_Statement
Net Profit,,19,163,61,11,106,135,253,424,332,43,204,JKTYRE,Income_Statement
EPS in Rs,,0.93,7.96,2.99,0.54,5.14,6.56,11.17,18.72,14.64,1.9,8.3,JKTYRE,Income_Statement
Dividend Payout %,,58%,9%,20%,93%,14%,15%,13%,13%,17%,79%,18%,JKTYRE,Income_Statement
Share Capital,,41,41,41,41,41,41,45,45,45,45,49,JKTYRE,Balance_Sheet
Reserves,,535,652,674,630,701,795,1046,1374,1629,1599,1946,JKTYRE,Balance_Sheet
Borrowings,,1102,860,1315,1777,2356,2371,2606,2565,3375,3498,3320,JKTYRE,Balance_Sheet
Other Liabilities,,922,1234,1490,1880,1635,1913,2186,2086,2011,2036,2091,JKTYRE,Balance_Sheet
Total Liabilities,,2599,2788,3519,4328,4733,5120,5884,6070,7060,7178,7405,JKTYRE,Balance_Sheet
Fixed Assets,,1169,1353,1416,1443,2280,2274,2354,3321,3300,3578,3330,JKTYRE,Balance_Sheet
CWIP,,240,132,192,749,55,143,697,89,136,83,74,JKTYRE,Balance_Sheet
Investments,,90,90,94,101,98,102,93,97,490,545,597,JKTYRE,Balance_Sheet
Other Assets,,1101,1213,1817,2035,2301,2601,2740,2563,3134,2972,3405,JKTYRE,Balance_Sheet
Total Assets,,2599,2788,3519,4328,4733,5120,5884,6070,7060,7178,7405,JKTYRE,Balance_Sheet
Cash from Operating Activity,,266,544,-21,347,-101,563,587,815,164,495,262,JKTYRE,Cash_Flow
Cash from Investing Activity,,-350,-169,-284,-600,-179,-218,-673,-474,-663,-255,130,JKTYRE,Cash_Flow
Cash from Financing Activity,,96,-354,327,246,297,-261,-18,-358,500,-236,-376,JKTYRE,Cash_Flow
Net Cash Flow,,13,21,22,-7,16,83,-105,-17,1,4,16,JKTYRE,Cash_Flow
Sales,,693,850,1035,1141,1119,1043,1079,1077,1165,1525,1773,JTEKTINDIA,Income_Statement
Expenses,,686,762,930,1021,1001,944,956,961,1034,1330,1572,JTEKTINDIA,Income_Statement
Operating Profit,,8,88,105,120,118,99,123,116,130,195,201,JTEKTINDIA,Income_Statement
OPM %,,1%,10%,10%,10%,11%,9%,11%,11%,11%,13%,11%,JTEKTINDIA,Income_Statement
Other Income,,4,5,7,4,6,40,4,16,4,7,13,JTEKTINDIA,Income_Statement
Interest,,32,34,32,34,34,32,25,28,24,21,16,JTEKTINDIA,Income_Statement
Depreciation,,25,27,28,33,43,49,78,72,75,92,91,JTEKTINDIA,Income_Statement
Profit before tax,,-45,33,51,56,47,58,24,32,36,89,107,JTEKTINDIA,Income_Statement
Tax %,,32%,34%,27%,31%,35%,11%,24%,22%,30%,35%,36%,JTEKTINDIA,Income_Statement
Net Profit,,-31,22,37,39,31,52,18,25,25,58,69,JTEKTINDIA,Income_Statement
EPS in Rs,,-1.56,1.09,1.88,1.95,1.54,2.6,0.9,1.26,1.26,2.89,2.8,JTEKTINDIA,Income_Statement
Dividend Payout %,,0%,28%,35%,33%,42%,31%,72%,40%,40%,17%,29%,JTEKTINDIA,Income_Statement
Share Capital,,20,20,20,20,20,20,20,20,20,20,24,JTEKTINDIA,Balance_Sheet
Reserves,,147,161,184,208,223,247,242,255,279,504,549,JTEKTINDIA,Balance_Sheet
Borrowings,,239,219,212,235,308,276,257,279,245,232,188,JTEKTINDIA,Balance_Sheet
Other Liabilities,,154,170,217,251,237,238,218,219,221,256,272,JTEKTINDIA,Balance_Sheet
Total Liabilities,,559,570,632,714,787,780,737,773,765,1013,1034,JTEKTINDIA,Balance_Sheet
Fixed Assets,,307,300,309,373,421,421,406,438,443,516,495,JTEKTINDIA,Balance_Sheet
CWIP,,20,20,24,41,31,67,62,38,21,23,9,JTEKTINDIA,Balance_Sheet
Investments,,59,71,68,68,69,35,35,35,34,5,5,JTEKTINDIA,Balance_Sheet
Other Assets,,173,179,231,232,266,256,233,262,266,469,525,JTEKTINDIA,Balance_Sheet
Total Assets,,559,570,632,714,787,780,737,773,765,1013,1034,JTEKTINDIA,Balance_Sheet
Cash from Operating Activity,,24,73,76,134,57,96,129,89,150,164,170,JTEKTINDIA,Cash_Flow
Cash from Investing Activity,,-66,-31,-35,-112,-77,-15,-63,-65,-61,-113,22,JTEKTINDIA,Cash_Flow
Cash from Financing Activity,,-1,-44,-40,-22,20,-81,-66,-23,-91,-50,-83,JTEKTINDIA,Cash_Flow
Net Cash Flow,,-43,-2,1,0,0,0,0,2,-2,1,108,JTEKTINDIA,Cash_Flow
Sales,,376,410,483,618,634,703,684,622,655,576,623,JAICORPLTD,Income_Statement
Expenses,,340,360,424,561,562,611,599,543,570,482,545,JAICORPLTD,Income_Statement
Operating Profit,,36,49,59,56,73,92,86,80,85,94,79,JAICORPLTD,Income_Statement
OPM %,,10%,12%,12%,9%,11%,13%,12%,13%,13%,16%,13%,JAICORPLTD,Income_Statement
Other Income,,26,49,76,102,55,43,23,35,15,16,15,JAICORPLTD,Income_Statement
Interest,,5,3,2,1,1,0,0,83,78,52,34,JAICORPLTD,Income_Statement
Depreciation,,15,16,17,17,18,18,23,18,16,15,15,JAICORPLTD,Income_Statement
Profit before tax,,42,79,117,140,109,117,86,14,6,43,45,JAICORPLTD,Income_Statement
Tax %,,32%,23%,21%,29%,31%,33%,32%,105%,338%,43%,51%,JAICORPLTD,Income_Statement
Net Profit,,28,61,92,99,75,78,58,-1,-15,24,22,JAICORPLTD,Income_Statement
EPS in Rs,,1.58,3.42,5.16,5.54,4.2,4.38,3.27,-0.04,-0.81,1.37,1.23,JAICORPLTD,Income_Statement
Dividend Payout %,,32%,15%,10%,9%,12%,11%,15%,-1144%,-62%,37%,41%,JAICORPLTD,Income_Statement
Share Capital,,19,19,19,19,19,19,19,18,18,639,249,JAICORPLTD,Balance_Sheet
Reserves,,2567,2625,2714,2191,2052,2076,2002,1001,852,976,913,JAICORPLTD,Balance_Sheet
Borrowings,,43,33,23,15,11,9,9,895,923,1,349,JAICORPLTD,Balance_Sheet
Other Liabilities,,43,58,83,84,60,51,59,93,267,675,280,JAICORPLTD,Balance_Sheet
Total Liabilities,,2670,2734,2838,2308,2140,2154,2088,2007,2060,1669,1560,JAICORPLTD,Balance_Sheet
Fixed Assets,,200,220,214,211,212,209,197,173,179,180,184,JAICORPLTD,Balance_Sheet
CWIP,,32,8,8,12,7,7,6,10,6,20,6,JAICORPLTD,Balance_Sheet
Investments,,1723,1890,1599,1291,1075,1047,1010,1463,1530,1139,1062,JAICORPLTD,Balance_Sheet
Other Assets,,715,617,1016,793,845,891,875,361,344,330,308,JAICORPLTD,Balance_Sheet
Total Assets,,2670,2734,2838,2308,2140,2154,2088,2007,2060,1669,1560,JAICORPLTD,Balance_Sheet
Cash from Operating Activity,,28,71,14,15,-10,54,91,77,72,60,80,JAICORPLTD,Cash_Flow
Cash from Investing Activity,,27,-63,13,618,225,21,29,17,-16,501,-9,JAICORPLTD,Cash_Flow
Cash from Financing Activity,,-48,-15,-23,-633,-219,-55,-131,-101,-54,-557,-77,JAICORPLTD,Cash_Flow
Net Cash Flow,,7,-6,3,0,-4,20,-12,-6,1,4,-6,JAICORPLTD,Cash_Flow
Sales,,448,557,816,967,840,716,979,1092,1082,1609,2046,JAMNAAUTO,Income_Statement
Expenses,,432,513,738,893,782,690,918,981,934,1417,1811,JAMNAAUTO,Income_Statement
Operating Profit,,17,43,78,74,59,26,62,110,148,192,234,JAMNAAUTO,Income_Statement
OPM %,,4%,8%,10%,8%,7%,4%,6%,10%,14%,12%,11%,JAMNAAUTO,Income_Statement
Other Income,,8,18,30,25,25,33,24,41,42,41,38,JAMNAAUTO,Income_Statement
Interest,,35,26,21,16,22,21,17,14,13,18,25,JAMNAAUTO,Income_Statement
Depreciation,,9,14,32,32,28,25,29,44,46,39,44,JAMNAAUTO,Income_Statement
Profit before tax,,-20,21,55,52,34,13,40,93,131,175,203,JAMNAAUTO,Income_Statement
Tax %,,19%,26%,23%,17%,13%,-8%,26%,23%,21%,28%,31%,JAMNAAUTO,Income_Statement
Net Profit,,-16,16,42,43,29,14,29,72,104,125,140,JAMNAAUTO,Income_Statement
EPS in Rs,,,0.43,1.08,1.09,0.74,0.36,0.74,1.82,2.61,3.15,3.51,JAMNAAUTO,Income_Statement
Dividend Payout %,,0%,0%,18%,32%,27%,28%,30%,30%,27%,27%,27%,JAMNAAUTO,Income_Statement
Share Capital,,40,40,43,43,43,41,40,40,40,40,40,JAMNAAUTO,Balance_Sheet
Reserves,,27,35,92,114,134,143,159,206,295,387,475,JAMNAAUTO,Balance_Sheet
Borrowings,,161,115,125,156,133,106,64,15,71,60,2,JAMNAAUTO,Balance_Sheet
Other Liabilities,,128,180,236,262,238,213,210,207,127,247,443,JAMNAAUTO,Balance_Sheet
Total Liabilities,,353,366,492,571,544,501,473,468,533,734,959,JAMNAAUTO,Balance_Sheet
Fixed Assets,,97,141,168,178,257,251,234,203,267,272,335,JAMNAAUTO,Balance_Sheet
CWIP,,56,22,24,83,9,1,7,56,8,31,39,JAMNAAUTO,Balance_Sheet
Investments,,7,7,26,22,22,21,21,15,26,13,19,JAMNAAUTO,Balance_Sheet
Other Assets,,193,196,273,288,256,229,211,194,232,418,565,JAMNAAUTO,Balance_Sheet
Total Assets,,353,366,492,571,544,501,473,468,533,734,959,JAMNAAUTO,Balance_Sheet
Cash from Operating Activity,,33,83,123,49,50,31,54,89,42,82,261,JAMNAAUTO,Cash_Flow
Cash from Investing Activity,,-43,-36,-45,-53,-5,24,1,-25,-43,-20,-115,JAMNAAUTO,Cash_Flow
Cash from Financing Activity,,6,-46,-71,2,-46,-52,-59,-65,4,-60,-134,JAMNAAUTO,Cash_Flow
Net Cash Flow,,-4,2,6,-2,-1,3,-4,0,3,1,12,JAMNAAUTO,Cash_Flow
Sales,5003,,6777,4194,5198,5617,5510,6604,6120,5678,7310,9829,JINDALSAW,Income_Statement
Expenses,4304,,5512,3363,4557,5014,4890,5655,5242,4794,6239,8528,JINDALSAW,Income_Statement
Operating Profit,700,,1265,831,641,603,619,949,878,884,1071,1302,JINDALSAW,Income_Statement
OPM %,14%,,19%,20%,12%,11%,11%,14%,14%,16%,15%,13%,JINDALSAW,Income_Statement
Other Income,32,,60,63,-54,-32,10,47,101,237,180,217,JINDALSAW,Income_Statement
Interest,198,,227,151,114,150,226,326,494,380,415,496,JINDALSAW,Income_Statement
Depreciation,71,,131,137,150,155,213,205,227,229,256,281,JINDALSAW,Income_Statement
Profit before tax,464,,968,605,323,266,191,464,258,512,580,741,JINDALSAW,Income_Statement
Tax %,26%,,25%,23%,31%,27%,24%,39%,14%,40%,33%,33%,JINDALSAW,Income_Statement
Net Profit,342,,723,464,224,193,144,285,221,308,386,500,JINDALSAW,Income_Statement
EPS in Rs,13.14,,26.44,16.8,8.12,7,5.22,9.84,7.27,9.62,12.06,15.64,JINDALSAW,Income_Statement
Dividend Payout %,8%,,5%,6%,12%,14%,19%,10%,14%,10%,10%,13%,JINDALSAW,Income_Statement
Share Capital,152,,155,55,55,55,55,58,61,64,64,64,JINDALSAW,Balance_Sheet
Reserves,2177,,3487,3966,3498,3673,3827,5578,5241,5500,5849,6302,JINDALSAW,Balance_Sheet
Borrowings,1637,,737,1612,2517,3266,3457,4553,4981,4151,4445,4175,JINDALSAW,Balance_Sheet
Other Liabilities,1624,,1206,1188,1510,1175,1159,1782,1249,1221,1425,2766,JINDALSAW,Balance_Sheet
Total Liabilities,5490,,5485,6821,7580,8170,8497,11970,11532,10937,11783,13307,JINDALSAW,Balance_Sheet
Fixed Assets,1085,,1867,1926,2038,2556,3541,5307,5757,5773,5638,5697,JINDALSAW,Balance_Sheet
CWIP,800,,267,344,691,1011,204,422,204,66,108,231,JINDALSAW,Balance_Sheet
Investments,215,,620,654,699,827,788,959,675,591,649,665,JINDALSAW,Balance_Sheet
Other Assets,3389,,2732,3897,4152,3776,3964,5283,4895,4507,5389,6714,JINDALSAW,Balance_Sheet
Total Assets,5490,,5485,6821,7580,8170,8497,11970,11532,10937,11783,13307,JINDALSAW,Balance_Sheet
Cash from Operating Activity,387,,1684,-816,-207,313,392,-199,544,1317,573,1270,JINDALSAW,Cash_Flow
Cash from Investing Activity,-633,,-928,37,-360,-967,-323,-763,-440,-111,-454,-487,JINDALSAW,Cash_Flow
Cash from Financing Activity,118,,-732,706,646,545,-92,1103,-168,-1278,-137,-731,JINDALSAW,Cash_Flow
Net Cash Flow,-129,,25,-72,79,-109,-22,141,-64,-72,-17,52,JINDALSAW,Cash_Flow
Sales,,,,,,,0,7365,6370,6890,9259,8956,JSLHISAR,Income_Statement
Expenses,,,,,,,0,6653,5706,5995,8119,8057,JSLHISAR,Income_Statement
Operating Profit,,,,,,,0,713,664,895,1139,900,JSLHISAR,Income_Statement
OPM %,,,,,,,,10%,10%,13%,12%,10%,JSLHISAR,Income_Statement
Other Income,,,,,,,0,39,120,108,131,127,JSLHISAR,Income_Statement
Interest,,,,,,,0,447,469,412,395,348,JSLHISAR,Income_Statement
Depreciation,,,,,,,0,292,285,265,267,276,JSLHISAR,Income_Statement
Profit before tax,,,,,,,0,12,30,326,608,404,JSLHISAR,Income_Statement
Tax %,,,,,,,,0%,18%,33%,35%,35%,JSLHISAR,Income_Statement
Net Profit,,,,,,,0,12,25,218,396,262,JSLHISAR,Income_Statement
EPS in Rs,,,,,,,0,492.8,1.07,9.24,16.77,11.09,JSLHISAR,Income_Statement
Dividend Payout %,,,,,,,,0%,0%,0%,0%,0%,JSLHISAR,Income_Statement
Share Capital,,,,,,,0,46,46,47,47,47,JSLHISAR,Balance_Sheet
Reserves,,,,,,,0,551,600,815,1209,1470,JSLHISAR,Balance_Sheet
Borrowings,,,,,,,0,856,1855,3390,2799,2181,JSLHISAR,Balance_Sheet
Other Liabilities,,,,,,,0,4372,2622,2059,2129,2073,JSLHISAR,Balance_Sheet
Total Liabilities,,,,,,,0,5778,5123,6311,6184,5771,JSLHISAR,Balance_Sheet
Fixed Assets,,,,,,,0,2584,2342,2234,2102,1989,JSLHISAR,Balance_Sheet
CWIP,,,,,,,0,29,53,41,63,90,JSLHISAR,Balance_Sheet
Investments,,,,,,,0,417,417,417,417,417,JSLHISAR,Balance_Sheet
Other Assets,,,,,,,0,2748,2312,3620,3602,3275,JSLHISAR,Balance_Sheet
Total Assets,,,,,,,0,5778,5123,6311,6184,5771,JSLHISAR,Balance_Sheet
Cash from Operating Activity,,,,,,,0,453,844,656,1444,1136,JSLHISAR,Cash_Flow
Cash from Investing Activity,,,,,,,0,4,-1388,-1793,-457,-155,JSLHISAR,Cash_Flow
Cash from Financing Activity,,,,,,,0,-455,557,1128,-987,-969,JSLHISAR,Cash_Flow
Net Cash Flow,,,,,,,0,2,13,-8,-1,12,JSLHISAR,Cash_Flow
Sales,,4801,5662,6793,7807,10226,11891,5996,6528,8311,10785,12585,JSL,Income_Statement
Expenses,,4499,4637,5712,6902,9615,11009,5692,6007,7212,9537,11499,JSL,Income_Statement
Operating Profit,,302,1025,1081,905,611,883,304,520,1100,1248,1086,JSL,Income_Statement
OPM %,,6%,18%,16%,12%,6%,7%,5%,8%,13%,12%,9%,JSL,Income_Statement
Other Income,,-509,319,111,-134,-119,-374,1226,-8,59,80,84,JSL,Income_Statement
Interest,,347,434,389,517,990,1235,916,1006,762,541,614,JSL,Income_Statement
Depreciation,,313,340,356,409,701,688,393,298,308,304,335,JSL,Income_Statement
Profit before tax,,-867,570,447,-154,-1199,-1414,222,-792,89,483,221,JSL,Income_Statement
Tax %,,33%,34%,29%,32%,32%,2%,-1%,29%,34%,34%,37%,JSL,Income_Statement
Net Profit,,-580,378,318,-104,-821,-1390,223,-559,58,318,139,JSL,Income_Statement
EPS in Rs,,-35.77,20.39,17,-5.48,-40.22,-64.54,9.85,-24.18,1.46,6.64,2.9,JSL,Income_Statement
Dividend Payout %,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,JSL,Income_Statement
Share Capital,,32,37,37,38,41,46,412,46,80,702,791,JSL,Balance_Sheet
Reserves,,1258,1876,2217,2144,1435,147,-218,1222,1636,2256,2379,JSL,Balance_Sheet
Borrowings,,5657,7545,8698,9906,10900,11221,10889,10037,5628,4122,3423,JSL,Balance_Sheet
Other Liabilities,,3572,2907,3146,3600,4150,4282,2814,3023,2927,3690,4124,JSL,Balance_Sheet
Total Liabilities,,10519,12365,14099,15689,16526,15693,13530,14328,10271,10164,10021,JSL,Balance_Sheet
Fixed Assets,,3956,3903,4162,9755,9807,9438,7394,6645,6392,6143,6143,JSL,Balance_Sheet
CWIP,,2011,3885,4901,461,154,153,137,54,30,142,26,JSL,Balance_Sheet
Investments,,897,351,167,170,173,170,103,482,481,485,487,JSL,Balance_Sheet
Other Assets,,3656,4226,4869,5302,6392,5931,5895,7147,3368,3394,3366,JSL,Balance_Sheet
Total Assets,,10519,12365,14099,15689,16526,15693,13530,14328,10271,10164,10021,JSL,Balance_Sheet
Cash from Operating Activity,,1129,30,348,504,105,884,421,766,5182,1427,1353,JSL,Cash_Flow
Cash from Investing Activity,,-1756,-1570,-1319,-789,-21,-89,20,1050,-5,-184,-172,JSL,Cash_Flow
Cash from Financing Activity,,588,1571,612,124,-162,-836,-449,-1787,-5198,-1258,-1196,JSL,Cash_Flow
Net Cash Flow,,-38,30,-358,-161,-78,-42,-8,29,-22,-15,-15,JSL,Cash_Flow
Sales,,470,641,764,798,930,1100,1573,1641,1917,2185,2241,JCHAC,Income_Statement
Expenses,,440,582,705,769,884,1052,1435,1518,1749,1986,2078,JCHAC,Income_Statement
Operating Profit,,30,59,59,29,46,48,138,123,168,199,164,JCHAC,Income_Statement
OPM %,,6%,9%,8%,4%,5%,4%,9%,7%,9%,9%,7%,JCHAC,Income_Statement
Other Income,,7,12,5,1,2,6,7,2,7,7,15,JCHAC,Income_Statement
Interest,,3,2,7,9,7,12,8,10,4,2,3,JCHAC,Income_Statement
Depreciation,,8,12,16,18,20,30,36,46,52,53,44,JCHAC,Income_Statement
Profit before tax,,27,57,40,3,21,11,101,69,118,151,132,JCHAC,Income_Statement
Tax %,,21%,19%,27%,-17%,26%,29%,23%,27%,31%,34%,35%,JCHAC,Income_Statement
Net Profit,,21,46,29,3,15,8,78,50,81,100,86,JCHAC,Income_Statement
EPS in Rs,,7.63,16.72,10.63,1.18,5.63,2.96,28.6,18.38,29.91,36.83,31.61,JCHAC,Income_Statement
Dividend Payout %,,0%,7%,12%,106%,23%,51%,5%,8%,5%,4%,5%,JCHAC,Income_Statement
Share Capital,,23,23,23,23,23,27,27,27,27,27,27,JCHAC,Balance_Sheet
Reserves,,82,124,149,148,159,213,286,331,413,508,586,JCHAC,Balance_Sheet
Borrowings,,51,60,90,99,166,125,140,160,60,13,190,JCHAC,Balance_Sheet
Other Liabilities,,182,243,360,325,484,395,626,591,621,708,736,JCHAC,Balance_Sheet
Total Liabilities,,337,450,622,595,831,760,1078,1110,1121,1256,1539,JCHAC,Balance_Sheet
Fixed Assets,,65,105,131,130,178,195,243,265,257,244,232,JCHAC,Balance_Sheet
CWIP,,18,15,6,13,11,2,3,1,4,2,94,JCHAC,Balance_Sheet
Investments,,0,0,0,0,0,0,0,0,0,0,0,JCHAC,Balance_Sheet
Other Assets,,254,330,486,453,643,563,833,843,859,1010,1213,JCHAC,Balance_Sheet
Total Assets,,337,450,622,595,831,760,1078,1110,1121,1256,1539,JCHAC,Balance_Sheet
Cash from Operating Activity,,30,37,-9,26,68,58,55,62,172,97,-81,JCHAC,Cash_Flow
Cash from Investing Activity,,-47,-47,-31,-21,-113,-72,-51,-69,-41,-32,-95,JCHAC,Cash_Flow
Cash from Financing Activity,,32,11,19,-5,114,-56,0,6,-110,-53,170,JCHAC,Cash_Flow
Net Cash Flow,,15,1,-21,1,69,-70,4,-2,20,12,-6,JCHAC,Cash_Flow
Sales,,86,131,184,262,363,461,590,668,719,782,892,JUSTDIAL,Income_Statement
Expenses,,78,101,139,194,264,319,424,523,609,617,663,JUSTDIAL,Income_Statement
Operating Profit,,8,30,45,68,99,142,166,144,110,164,229,JUSTDIAL,Income_Statement
OPM %,,9%,23%,25%,26%,27%,31%,28%,22%,15%,21%,26%,JUSTDIAL,Income_Statement
Other Income,,6,4,4,13,14,40,49,80,87,66,93,JUSTDIAL,Income_Statement
Interest,,0,0,0,1,0,0,0,0,0,0,0,JUSTDIAL,Income_Statement
Depreciation,,4,5,7,9,14,17,24,31,40,36,34,JUSTDIAL,Income_Statement
Profit before tax,,10,29,42,72,98,165,191,193,156,194,288,JUSTDIAL,Income_Statement
Tax %,,24%,34%,32%,29%,30%,27%,27%,26%,22%,26%,28%,JUSTDIAL,Income_Statement
Net Profit,,8,19,29,51,68,121,139,143,121,143,207,JUSTDIAL,Income_Statement
EPS in Rs,,,,,,,17.19,19.7,20.55,17.45,21.25,31.93,JUSTDIAL,Income_Statement
Dividend Payout %,,0%,0%,0%,0%,0%,12%,10%,0%,0%,0%,0%,JUSTDIAL,Income_Statement
Share Capital,,1,1,52,53,70,70,70,69,70,67,65,JUSTDIAL,Balance_Sheet
Reserves,,44,65,43,54,356,464,603,670,798,912,934,JUSTDIAL,Balance_Sheet
Borrowings,,0,0,0,0,0,0,0,0,0,0,4,JUSTDIAL,Balance_Sheet
Other Liabilities,,52,59,96,142,182,231,291,309,398,431,546,JUSTDIAL,Balance_Sheet
Total Liabilities,,97,125,191,248,607,765,965,1048,1266,1410,1549,JUSTDIAL,Balance_Sheet
Fixed Assets,,14,19,27,35,61,53,92,139,156,149,126,JUSTDIAL,Balance_Sheet
CWIP,,0,0,0,1,2,1,0,9,9,0,6,JUSTDIAL,Balance_Sheet
Investments,,42,81,118,157,486,626,773,796,965,1143,1291,JUSTDIAL,Balance_Sheet
Other Assets,,41,26,46,55,59,85,100,105,136,118,126,JUSTDIAL,Balance_Sheet
Total Assets,,97,125,191,248,607,765,965,1048,1266,1410,1549,JUSTDIAL,Balance_Sheet
Cash from Operating Activity,,6,36,60,96,102,133,185,148,136,226,276,JUSTDIAL,Cash_Flow
Cash from Investing Activity,,-10,-31,-53,-121,-353,-129,-158,25,-118,-137,-77,JUSTDIAL,Cash_Flow
Cash from Financing Activity,,0,0,0,29,251,4,-14,-181,1,-84,-217,JUSTDIAL,Cash_Flow
Net Cash Flow,,-4,5,7,4,0,9,12,-8,19,5,-17,JUSTDIAL,Cash_Flow
Sales,,350,573,607,663,1019,1260,1438,1542,1632,1626,1769,JYOTHYLAB,Income_Statement
Expenses,,300,479,521,580,895,1095,1274,1314,1372,1362,1483,JYOTHYLAB,Income_Statement
Operating Profit,,50,94,86,83,124,165,163,228,260,264,286,JYOTHYLAB,Income_Statement
OPM %,,14%,16%,14%,13%,12%,13%,11%,15%,16%,16%,16%,JYOTHYLAB,Income_Statement
Other Income,,8,18,21,57,47,56,66,16,11,43,28,JYOTHYLAB,Income_Statement
Interest,,0,1,0,19,66,53,12,56,51,42,28,JYOTHYLAB,Income_Statement
Depreciation,,7,10,11,17,62,62,70,54,55,57,58,JYOTHYLAB,Income_Statement
Profit before tax,,51,101,96,103,44,106,147,133,166,208,228,JYOTHYLAB,Income_Statement
Tax %,,21%,21%,16%,19%,0%,0%,3%,44%,-22%,23%,15%,JYOTHYLAB,Income_Statement
Net Profit,,40,80,80,84,44,106,143,75,202,161,193,JYOTHYLAB,Income_Statement
EPS in Rs,,,,2.49,2.59,1.37,2.93,3.94,2.06,5.56,4.42,5.26,JYOTHYLAB,Income_Statement
Dividend Payout %,,36%,36%,50%,24%,92%,51%,51%,122%,54%,6%,57%,JYOTHYLAB,Income_Statement
Share Capital,,7,7,8,8,16,18,18,18,18,18,37,JYOTHYLAB,Balance_Sheet
Reserves,,345,392,645,665,653,862,944,454,635,665,817,JYOTHYLAB,Balance_Sheet
Borrowings,,0,5,59,554,610,519,519,402,451,479,217,JYOTHYLAB,Balance_Sheet
Other Liabilities,,75,125,127,129,280,368,436,460,255,297,341,JYOTHYLAB,Balance_Sheet
Total Liabilities,,427,528,839,1357,1559,1767,1916,1334,1360,1459,1412,JYOTHYLAB,Balance_Sheet
Fixed Assets,,185,198,206,203,671,630,570,538,542,489,471,JYOTHYLAB,Balance_Sheet
CWIP,,6,3,10,3,3,3,5,8,8,15,14,JYOTHYLAB,Balance_Sheet
Investments,,17,18,80,378,25,154,409,205,154,246,242,JYOTHYLAB,Balance_Sheet
Other Assets,,219,309,543,773,859,979,932,583,656,709,685,JYOTHYLAB,Balance_Sheet
Total Assets,,427,528,839,1357,1559,1767,1916,1334,1360,1459,1412,JYOTHYLAB,Balance_Sheet
Cash from Operating Activity,,38,51,-7,125,7,147,158,195,166,251,305,JYOTHYLAB,Cash_Flow
Cash from Investing Activity,,-10,-25,-158,-591,2,-120,0,97,-20,-81,25,JYOTHYLAB,Cash_Flow
Cash from Financing Activity,,-17,-18,246,389,-30,45,-54,-300,-127,-149,-316,JYOTHYLAB,Cash_Flow
Net Cash Flow,,10,9,80,-77,-21,72,103,-7,18,21,13,JYOTHYLAB,Cash_Flow
Sales,,974,896,1156,1706,1658,1619,2031,2326,2628,3459,4227,KEI,Income_Statement
Expenses,,936,834,1068,1556,1488,1466,1838,2083,2359,3120,3785,KEI,Income_Statement
Operating Profit,,38,62,88,150,171,153,193,242,269,339,442,KEI,Income_Statement
OPM %,,4%,7%,8%,9%,10%,9%,10%,10%,10%,10%,10%,KEI,Income_Statement
Other Income,,27,14,6,1,2,1,5,5,10,9,7,KEI,Income_Statement
Interest,,59,44,59,96,109,112,120,127,124,111,136,KEI,Income_Statement
Depreciation,,12,15,17,20,20,21,25,25,28,32,34,KEI,Income_Statement
Profit before tax,,-6,17,18,36,43,22,53,95,126,204,279,KEI,Income_Statement
Tax %,,120%,18%,41%,32%,39%,47%,35%,35%,26%,29%,35%,KEI,Income_Statement
Net Profit,,1,14,11,24,26,12,34,62,94,145,182,KEI,Income_Statement
EPS in Rs,,0.21,2.34,1.58,3.63,3.75,1.57,4.43,8.05,12.06,18.45,23.04,KEI,Income_Statement
Dividend Payout %,,98%,9%,13%,6%,5%,13%,9%,6%,5%,5%,5%,KEI,Income_Statement
Share Capital,,12,13,13,13,14,15,15,15,16,16,16,KEI,Balance_Sheet
Reserves,,184,205,225,213,242,254,288,351,445,589,763,KEI,Balance_Sheet
Borrowings,,368,337,286,488,474,511,452,498,813,842,599,KEI,Balance_Sheet
Other Liabilities,,195,244,405,480,448,464,585,598,622,770,1387,KEI,Balance_Sheet
